season,actions,agreement,applications,applications issues,batteries,border,border protection,childrens,childrens online,communications,control,control regulations,customs,customs border,cyber,data security,devices,devices health,digital goods,digital textbooks,distribution,distribution video,diversity,diversity in,do,do not,electronic,energy,environmental,export,export control,fairness,foreign,foreign regulatory,funding issues,goods,goods services,green technology,health,health data,high,hr,hr hr,immigration,in workplace,information,infringement,ip,itc,litigation,location,marketplace,marketplace fairness,medical,medical applications,mobile devices,mobile medical,mobile payments,mobile workforce,not,not track,online,online privacy,partnership,payments,payments issues,policy,privacy health,privacy safety,programming,reform international,regulation,regulation mobile,regulations,regulatory,regulatory actions,related competition,related consumer,related customs,related digital,related distribution,related diversity,related foreign,related mobile,related privacy,related regulation,related spectrum,related student,safety battery,security,services,state,student,student privacy,textbooks,track,video programming,workforce,workplace,workplace issues
2021 2nd Quarter - Report,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0
2021 1st Quarter - Report,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,2,1,0,0,0,0,1,1,1,1,2,0,0,2,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,2,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1
2020 4th Quarter - Report,2,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,3,1,0,0,0,0,2,1,2,0,0,3,1,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,1,2,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1
2020 3rd Quarter - Report,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,3,1,0,0,0,0,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,1,2,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1
2020 2nd Quarter - Report,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,1,2,1,1,0,3,1,0,1,0,0,2,1,1,0,0,2,1,0,0,0,1,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,2,1,1,1,1,1,2,0,0,1,1,1,2,1,2,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2020 1st Quarter - Report,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,1,2,1,1,0,3,1,0,1,0,0,2,1,1,0,0,2,1,0,0,0,1,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,2,1,1,1,1,1,2,0,0,1,1,1,2,1,2,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2019 4th Quarter - Report,2,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,1,2,1,1,0,3,1,0,1,0,0,2,1,1,0,0,2,1,0,0,0,1,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,2,1,1,1,1,1,2,0,0,1,1,1,2,1,2,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2019 3rd Quarter - Report,2,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,3,1,0,1,0,0,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2019 2nd Quarter - Report,2,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,4,1,1,1,0,0,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2019 1st Quarter - Report,2,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,4,1,1,1,0,0,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2018 4th Quarter - Report,2,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,4,1,1,1,0,0,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2018 3rd Quarter - Report,2,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,4,1,1,1,0,0,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,3,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2018 2nd Quarter - Report,2,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,4,1,1,1,0,0,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2018 1st Quarter - Report,2,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,4,1,1,1,0,1,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2017 4th Quarter - Report,2,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,3,2,1,1,0,1,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,2,2,2,1,1,0,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,1,2,1,1
2017 3rd Quarter - Report,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,0,1,2,1,1
2017 2nd Quarter - Report,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1
2017 1st Quarter - Report,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1
2016 4th Quarter - Report,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,2,1,1,1,1,0,1,1,1,1
2016 3rd Quarter - Report,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,2,1,1,1,1,0,1,1,1,1
2016 2nd Quarter - Report,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,2,0,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,2,2,1,1,1,0,1,2,1,1
2016 1st Quarter - Report,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,2,0,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,2,2,1,1,1,0,1,2,1,1
2015 4th Quarter - Report,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,2,0,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,0,1,1,0,2,2,1,1,1,0,1,2,1,1
2015 3rd Quarter - Report,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,2,0,0,1,1,1,1,2,1,0,0,0,0,1,0,1,1,1,1,0,1,1,2,1,1,1,1,2,0,0,2,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2,0,1,0,1,1,0,2,2,1,1,1,0,1,2,1,1
2015 2nd Quarter - Report,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,1,1,2,1,0,0,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,0,0,2,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,2,0,1,0,1,1,0,2,2,1,1,1,0,0,2,1,1
2015 1st Quarter - Report,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1,1,1,1,2,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,2,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0
2014 4th Quarter - Report,0,1,0,0,0,1,1,2,2,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,2,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0
2014 3rd Quarter - Report,0,1,1,0,0,1,1,2,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,2,0,0,0,0,2,1,3,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
2014 2nd Quarter - Report,0,1,0,0,0,1,1,2,2,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,0,0,0,0,0
2014 1st Quarter - Report,0,1,0,0,0,1,1,2,2,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0
2013 4th Quarter - Report,0,1,0,0,0,1,1,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
2013 3rd Quarter - Report,0,1,0,0,0,1,1,2,2,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0
2013 2nd Quarter - Report,0,1,0,0,0,1,1,2,2,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0
2013 1st Quarter - Report,0,1,0,0,0,1,1,2,2,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0
2012 4th Quarter - Report,0,1,1,0,3,1,1,1,1,2,0,0,1,1,2,2,0,0,2,1,0,0,0,0,3,3,3,1,0,0,0,2,0,0,1,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,1,0,0,1,0,0,3,3,3,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,3,0,0,0,1,3,0,0,0,0
2012 3rd Quarter - Report,0,1,1,0,3,1,1,0,0,2,0,0,1,1,2,2,0,0,2,1,0,0,0,0,3,3,3,1,0,0,0,2,0,0,1,2,2,1,0,0,0,21,6,0,0,1,1,2,1,1,2,0,0,1,0,0,1,0,0,3,3,4,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,3,0,0,0,1,3,0,0,0,0
2012 2nd Quarter - Report,0,1,0,0,3,0,0,0,0,2,1,0,0,0,2,2,0,0,2,1,0,0,0,0,3,3,3,1,0,0,0,2,0,0,1,2,2,1,0,0,0,22,6,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,3,3,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,3,0,0,0,1,3,0,0,0,0
2012 1st Quarter - Report,0,1,0,0,3,0,0,0,0,2,1,0,0,0,2,2,0,0,2,0,0,0,0,0,3,3,2,1,0,0,0,2,0,0,0,2,2,1,0,0,0,22,6,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,3,3,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,3,0,0,0,0
2011 4th Quarter - Report,0,1,0,0,3,0,0,0,0,2,1,0,0,0,1,2,0,0,2,0,0,0,0,0,3,3,2,1,0,0,0,2,0,0,0,2,2,1,0,0,0,16,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,3,3,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,3,0,0,0,0
2011 3rd Quarter - Report,0,1,0,0,3,0,0,0,0,2,1,0,0,0,1,2,0,0,2,0,0,0,0,0,3,3,2,1,0,0,0,2,0,0,0,2,2,1,0,0,0,15,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,3,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,3,0,0,0,0
2011 2nd Quarter - Report,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,3,3,2,1,0,0,0,2,0,0,0,2,2,1,0,0,0,14,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,3,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,0
2011 1st Quarter - Report,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
