season,year,amazon_issue_code,facebook_issue_code,google_issue_code,apple_issue_code,microsoft_issue_code,amazon_issues,facebook_issues,google_issues,apple_issues,microsoft_issues
2021 2nd Quarter - Report,2021,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ', ' CAW  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' MAN  ', ' SCI  ', ' CIV  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ', ' DEF  ', ' TRA  ']",23,15,16,16,13
2021 1st Quarter - Report,2021,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ', ' CAW  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' MAN  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ', ' DEF  ', ' TRA  ']",23,15,16,14,13
2020 4th Quarter - Report,2020,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ', ' LBR  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' MAN  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,16,16,14,11
2020 3rd Quarter - Report,2020,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ', ' LBR  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' SCI  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,16,16,14,11
2020 2nd Quarter - Report,2020,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' TRA  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,15,16,13,11
2020 1st Quarter - Report,2020,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,13,16,13,11
2019 4th Quarter - Report,2019,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,12,16,13,11
2019 3rd Quarter - Report,2019,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,12,16,13,11
2019 2nd Quarter - Report,2019,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,11,15,13,11
2019 1st Quarter - Report,2019,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,11,15,13,11
2018 4th Quarter - Report,2018,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' TRA  ', ' LAW  ', ' TAX  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",21,10,16,13,11
2018 3rd Quarter - Report,2018,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' TRA  ', ' LAW  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",21,9,15,13,11
2018 2nd Quarter - Report,2018,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' TRA  ', ' LAW  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ', ' TAR  ']",21,9,15,13,12
2018 1st Quarter - Report,2018,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ', ' LAW  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ', ' TAR  ']",21,9,16,13,12
2017 4th Quarter - Report,2017,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ', ' LAW  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' FOR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ', ' TAR  ']",19,9,17,14,12
2017 3rd Quarter - Report,2017,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ', ' LAW  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",19,9,17,13,10
2017 2nd Quarter - Report,2017,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",20,9,16,13,10
2017 1st Quarter - Report,2017,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",18,9,16,11,10
