season,year,amazon_issue_code,facebook_issue_code,google_issue_code,apple_issue_code,microsoft_issue_code,amazon_issues,facebook_issues,google_issues,apple_issues,microsoft_issues
2016 4th Quarter - Report,2016,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",18,9,16,11,10
2016 3rd Quarter - Report,2016,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",18,9,16,11,10
2016 2nd Quarter - Report,2016,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",18,9,16,11,10
2016 1st Quarter - Report,2016,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",17,9,16,11,10
2015 4th Quarter - Report,2015,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' EDU  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",16,10,16,11,10
2015 3rd Quarter - Report,2015,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' MED  ', ' TRA  ', ' WEL  ', ' SMB  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",17,9,16,11,10
2015 2nd Quarter - Report,2015,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' MED  ', ' TRA  ', ' WEL  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",16,9,16,11,10
2015 1st Quarter - Report,2015,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' MED  ', ' TRA  ', ' WEL  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",16,9,16,11,10
2014 4th Quarter - Report,2014,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' BEV  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' MED  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' DIS  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' BUD  ', ' MIA  ', ' HCR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",15,10,16,11,10
2014 3rd Quarter - Report,2014,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' BEV  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' MED  ']","[' ADV  ', ' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' BUD  ', ' MIA  ', ' IMM  ', ' HCR  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",15,10,16,12,10
2014 2nd Quarter - Report,2014,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' BEV  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' MED  ']","[' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' CPT  ', ' TRD  ', ' LAW  ', ' INT  ', ' LBR  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' CPI  ', ' BUD  ', ' MIA  ', ' LBR  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",15,11,16,13,10
2014 1st Quarter - Report,2014,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' BEV  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ']","[' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' CPT  ', ' TRD  ', ' INT  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' CPI  ', ' BUD  ', ' MIA  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",14,9,15,11,10
2013 4th Quarter - Report,2013,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' BEV  ', ' IMM  ', ' TRD  ', ' DEF  ', ' SCI  ', ' INT  ', ' AVI  ']","[' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' CPT  ', ' TRD  ', ' INT  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' CPI  ', ' BUD  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",14,9,13,10,10
2013 3rd Quarter - Report,2013,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' BEV  ', ' IMM  ', ' TRD  ', ' DEF  ', ' SCI  ', ' INT  ']","[' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' CPT  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' CPI  ', ' BUD  ', ' MIA  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",13,7,13,11,10
2013 2nd Quarter - Report,2013,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' BEV  ', ' IMM  ', ' TRD  ', ' HCR  ', ' DEF  ', ' SCI  ', ' INT  ']","[' FOR  ', ' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' FOR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' CPI  ', ' BUD  ', ' MIA  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",14,7,12,11,10
2013 1st Quarter - Report,2013,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' BUD  ', ' BEV  ']","[' FOR  ', ' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' CPI  ', ' BUD  ', ' MIA  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",9,7,14,11,10
2012 4th Quarter - Report,2012,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' BUD  ']","[' FOR  ', ' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' FIN  ', ' TRA  ', ' LAW  ', ' CPI  ', ' BUD  ', ' MIA  ', ' MED  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",8,6,13,14,10
2012 3rd Quarter - Report,2012,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ']","[' FOR  ', ' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' CPT  ', ' FIN  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' SCI  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' FIN  ', ' TRA  ', ' LAW  ', ' CPI  ', ' BUD  ', ' MIA  ', ' MED  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",7,8,12,14,10
2012 2nd Quarter - Report,2012,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ']","[' FOR  ', ' CPI  ', ' MIA  ', ' CPT  ', ' NAT  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' FIN  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' HOM  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' FIN  ', ' TRA  ', ' LAW  ', ' CPI  ', ' BUD  ', ' MIA  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",6,10,12,13,10
2012 1st Quarter - Report,2012,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ']","[' FOR  ', ' CPI  ', ' MIA  ', ' CPT  ', ' NAT  ', ' ADV  ', ' IMM  ', ' HOM  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TAX  ', ' TRD  ', ' HOM  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' FIN  ', ' TRA  ', ' LAW  ', ' CPI  ', ' BUD  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",5,8,13,12,10
2011 4th Quarter - Report,2011,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ']","[' TRD  ', ' CPI  ', ' MIA  ', ' CPT  ', ' GOV  ', ' NAT  ', ' ADV  ', ' IMM  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' LBR  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' FIN  ', ' TRA  ', ' LAW  ', ' CPI  ', ' BUD  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",5,8,10,12,10
2011 3rd Quarter - Report,2011,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' BAN  ']","[' TRD  ', ' CPI  ', ' MIA  ', ' CPT  ', ' GOV  ', ' NAT  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' FIN  ', ' TRA  ', ' LAW  ', ' CPI  ', ' BUD  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",6,6,12,12,10
2011 2nd Quarter - Report,2011,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' TRA  ', ' HOM  ', ' BAN  ']","[' TRD  ', ' CPI  ', ' MIA  ', ' CPT  ', ' GOV  ', ' NAT  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' FIN  ', ' TRA  ', ' LAW  ', ' CPI  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",7,6,12,11,10
2011 1st Quarter - Report,2011,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' TRA  ', ' HOM  ', ' BAN  ']","[' TRD  ', ' CPI  ', ' MIA  ', ' COM  ', ' GOV  ', ' CPT  ', ' NAT  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' FIN  ', ' TRA  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ']",7,7,12,9,10
