season,year,facebook_issue_code,facebook_issues,TEC,CPT,TAX,CSP,HOM,POS,CPI,IMM,TRD,DEF,INT,AVI,FIN,TRA,WEL,SMB,LBR,EDU,GOV,BUD,HCR,CIV,CAW,MED,BEV,SCI,BAN,MIA,LAW,DIS,ENV,ADV,FOR,NAT,COM
2021 2nd Quarter - Report,2021,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ']",15,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
2021 1st Quarter - Report,2021,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ']",15,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
2020 4th Quarter - Report,2020,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ', ' LBR  ']",16,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
2020 3rd Quarter - Report,2020,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ', ' LBR  ']",16,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
2020 2nd Quarter - Report,2020,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' TRA  ']",15,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
2020 1st Quarter - Report,2020,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ']",13,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
2019 4th Quarter - Report,2019,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ']",12,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2019 3rd Quarter - Report,2019,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ']",12,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2019 2nd Quarter - Report,2019,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ']",11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2019 1st Quarter - Report,2019,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ']",11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2018 4th Quarter - Report,2018,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ']",10,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018 3rd Quarter - Report,2018,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018 2nd Quarter - Report,2018,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018 1st Quarter - Report,2018,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2017 4th Quarter - Report,2017,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2017 3rd Quarter - Report,2017,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2017 2nd Quarter - Report,2017,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2017 1st Quarter - Report,2017,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016 4th Quarter - Report,2016,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016 3rd Quarter - Report,2016,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016 2nd Quarter - Report,2016,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016 1st Quarter - Report,2016,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015 4th Quarter - Report,2015,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' EDU  ']",10,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015 3rd Quarter - Report,2015,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015 2nd Quarter - Report,2015,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015 1st Quarter - Report,2015,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014 4th Quarter - Report,2014,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' DIS  ']",10,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2014 3rd Quarter - Report,2014,"[' ADV  ', ' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",10,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2014 2nd Quarter - Report,2014,"[' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' CPT  ', ' TRD  ', ' LAW  ', ' INT  ', ' LBR  ']",11,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2014 1st Quarter - Report,2014,"[' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' CPT  ', ' TRD  ', ' INT  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013 4th Quarter - Report,2013,"[' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' CPT  ', ' TRD  ', ' INT  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013 3rd Quarter - Report,2013,"[' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' CPT  ']",7,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013 2nd Quarter - Report,2013,"[' FOR  ', ' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ']",7,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2013 1st Quarter - Report,2013,"[' FOR  ', ' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ']",7,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2012 4th Quarter - Report,2012,"[' FOR  ', ' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ']",6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2012 3rd Quarter - Report,2012,"[' FOR  ', ' CPI  ', ' MIA  ', ' ADV  ', ' IMM  ', ' HOM  ', ' CPT  ', ' FIN  ']",8,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2012 2nd Quarter - Report,2012,"[' FOR  ', ' CPI  ', ' MIA  ', ' CPT  ', ' NAT  ', ' ADV  ', ' IMM  ', ' HOM  ', ' TAX  ', ' FIN  ']",10,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
2012 1st Quarter - Report,2012,"[' FOR  ', ' CPI  ', ' MIA  ', ' CPT  ', ' NAT  ', ' ADV  ', ' IMM  ', ' HOM  ']",8,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
2011 4th Quarter - Report,2011,"[' TRD  ', ' CPI  ', ' MIA  ', ' CPT  ', ' GOV  ', ' NAT  ', ' ADV  ', ' IMM  ']",8,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2011 3rd Quarter - Report,2011,"[' TRD  ', ' CPI  ', ' MIA  ', ' CPT  ', ' GOV  ', ' NAT  ']",6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2011 2nd Quarter - Report,2011,"[' TRD  ', ' CPI  ', ' MIA  ', ' CPT  ', ' GOV  ', ' NAT  ']",6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2011 1st Quarter - Report,2011,"[' TRD  ', ' CPI  ', ' MIA  ', ' COM  ', ' GOV  ', ' CPT  ', ' NAT  ']",7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
